,bin,time(ms),color change & not first & correct,no color change & not first & correct,
211335542,51,1260,0.58879,-0.39163,
211335542,52,1286,1.2462,-0.24121,
211335542,53,1311,0.86288,0.13663,
211335542,54,1336,1.1852,0.38524,
211335542,55,1361,0.876,0.1777,
211335542,56,1386,0.57975,0.077715,
211335542,57,1412,1.4068,0.17641,
211335542,58,1437,1.3232,-0.59977,
211335542,59,1462,1.79,-0.021633,
211335542,60,1487,1.5238,0.32441,
211335542,61,1512,1.191,0.66429,
211335542,62,1538,1.7312,0.67452,
211335542,63,1563,1.6328,1.1903,
211335542,64,1588,-0.26717,0.13425,
211335542,65,1613,0.13652,0.074814,
211335542,66,1638,0.39291,-0.51516,
211335542,67,1664,-0.71211,-0.66324,
211335542,68,1689,0.74728,-0.029195,
211335542,69,1714,0.95643,-0.60617,
211335542,70,1739,-0.42842,-0.20419,
211335542,71,1764,-0.6203,-0.76695,
211335542,72,1790,-0.75751,-0.28907,
211335542,73,1815,0.24302,-0.45469,
211335542,74,1840,-0.54749,-0.89144,
211335542,75,1865,0.26659,0.2615,
211335542,76,1890,-0.58508,0.4046,
211335542,77,1916,-1.0528,0.10831,
211335542,78,1941,0.31608,0.64823,
211335542,79,1966,0.75085,0.77777,
211335542,80,1991,1.9068,0.40368,
211335542,81,2017,1.5207,0.25933,
211335542,82,2042,1.7953,0.78142,
211335542,83,2067,2.1838,-0.12113,
211335542,84,2092,2.2594,0.34747,
211335542,85,2117,1.612,0.096399,
211335542,86,2143,2.2753,0.068698,
211335542,87,2168,1.643,-0.60807,
211335542,88,2193,1.4799,-0.1794,
211335542,89,2218,1.5315,0.68392,
211335542,90,2243,3.013,-0.4924,
211335542,91,2269,2.8742,0.46126,
211335542,92,2294,1.514,-0.21177,
211335542,93,2319,1.624,-0.5386,
211335542,94,2344,1.9804,-0.95267,
211335542,95,2369,2.0882,-0.73702,
211335542,96,2395,2.0313,-0.85022,
211335542,97,2420,1.3228,-1.0789,
211335542,98,2445,2.5376,-1.3919,
211335542,99,2470,2.6289,-1.0481,
211335542,100,2495,1.2025,-0.77496,
211335542,101,2521,0.73108,-1.2171,
211335542,102,2546,2.0059,-1.1684,
211335542,103,2571,0.7576,-0.79342,
211335542,104,2596,1.4699,-0.83545,
211335542,105,2621,1.4068,-0.93611,
211335542,106,2647,0.8726,-1.0723,
211335542,107,2672,2.2397,-0.7055,
211335542,108,2697,0.26324,-1.6827,
211335542,109,2722,0.96761,-1.1481,
211335542,110,2748,1.0262,-1.3033,
211335542,111,2773,0.42731,-1.4716,
211335542,112,2798,0.79323,-1.967,
211335542,113,2823,0.8711,-0.86688,
211335542,114,2848,1.1643,-0.9416,
211335542,115,2874,1.235,-1.8292,
211335542,116,2899,1.1223,-2.1998,
211335542,117,2924,1.8235,-1.0947,
211335542,118,2949,-0.79854,
211335542,119,2974,-0.98316,
211335542,120,3000,-0.90393,
211335542,121,3025,-0.79882,
211335542,122,3050,-0.75307,
306346313,1,0,0,0,
306346313,2,25,-0.43608,0.071465,
306346313,3,51,-0.24344,-1.1063,
306346313,4,76,-1.2627,-0.48284,
306346313,5,102,-0.70905,0.90644,
306346313,6,127,-0.72035,1.0577,
306346313,7,153,0.2827,1.434,
306346313,8,178,-0.65825,-1.0049,
306346313,9,204,-0.75583,-0.12125,
306346313,10,229,-1.8082,-1.2169,
306346313,11,255,-1.2137,-0.19841,
306346313,12,280,-0.32456,0.096336,
306346313,13,306,-0.57683,-2.5955,
306346313,14,331,-1.8455,-0.91323,
306346313,15,357,-1.2819,-1.4124,
306346313,16,382,-0.1285,-0.43509,
306346313,17,408,-2.4951,0.65388,
306346313,18,433,-2.0936,2.5899,
306346313,19,458,-2.2683,0.60634,
306346313,20,484,-1.8644,1.3889,
306346313,21,509,-1.6884,-0.78176,
306346313,22,535,-1.6013,2.0172,
306346313,23,560,-0.91954,-1.5924,
306346313,24,586,-3.5372,1.5503,
306346313,25,611,-3.2802,0.30285,
306346313,26,637,-3.632,-0.61218,
306346313,27,662,-3.0918,1.7613,
306346313,28,688,-1.3484,-0.071307,
306346313,29,713,-3.8745,-1.4582,
306346313,30,739,-2.0377,-0.70169,
306346313,31,764,-2.5404,-0.064955,
306346313,32,790,-3.4131,-0.029438,
306346313,33,815,-4.121,0.5418,
306346313,34,841,-4.2261,-0.021668,
306346313,35,866,-3.4021,1.7312,
306346313,36,892,-1.4273,-0.51384,
306346313,37,917,-1.5278,0.7848,
306346313,38,942,-1.3009,0.098376,
306346313,39,968,-2.8249,2.2699,
306346313,40,993,-3.2003,2.2415,
306346313,41,1019,-0.87612,0.53924,
306346313,42,1044,-0.44687,1.9729,
306346313,43,1070,-2.4044,0.086025,
306346313,44,1095,-2.5568,2.3218,
306346313,45,1121,-2.3041,1.4316,
306346313,46,1146,-1.9147,1.3515,
306346313,47,1172,-0.072947,-0.047646,
306346313,48,1197,-3.0044,2.9684,
306346313,49,1223,-0.94628,1.0884,
306346313,50,1248,-1.6737,1.1325,
306346313,51,1274,-1.5595,0.045812,
306346313,52,1299,-0.11542,5.5948,
306346313,53,1325,-0.5766,
306346313,54,1350,2.6136,
314919309,1,0,0,0,
314919309,2,25,-0.12068,0.37517,
314919309,3,50,-0.18119,0.26925,
314919309,4,76,0.15625,0.36803,
314919309,5,101,0.13644,0.50637,
314919309,6,126,0.21873,0.62249,
314919309,7,151,0.43162,0.85144,
314919309,8,177,0.45609,0.94271,
314919309,9,202,0.63875,1.0718,
314919309,10,227,0.69194,0.98868,
314919309,11,252,0.69172,0.89804,
314919309,12,277,0.65735,0.93799,
