,bin,time(ms),color change & not first & update & correct,no color change & not first & no update & correct,
209154863,95,2368,0.35125,-0.8293,
209154863,96,2393,0.040596,-0.25217,
209154863,97,2418,-0.1085,-0.6673,
209154863,98,2443,-0.31001,-0.91611,
209154863,99,2468,-0.32145,-1.0817,
209154863,100,2494,-0.035883,-0.88309,
209154863,101,2519,-0.050309,-0.66291,
209154863,102,2544,-0.029655,-1.3931,
209154863,103,2569,-0.10978,-1.2605,
209154863,104,2594,-0.2336,-1.3499,
209154863,105,2620,-0.16334,-1.306,
209154863,106,2645,-0.2141,-1.3797,
209154863,107,2670,-0.37027,-1.1104,
209154863,108,2695,0.12406,-1.1206,
209154863,109,2720,-0.20803,-1.2346,
209154863,110,2745,-0.016973,-1.3761,
209154863,111,2771,-0.0010498,-1.111,
209154863,112,2796,0.0059777,-1.0542,
209154863,113,2821,0.1072,-1.2381,
209154863,114,2846,0.52376,-1.2154,
209154863,115,2871,0.20953,-1.2311,
209154863,116,2897,0.49985,-1.3671,
209154863,117,2922,0.61164,-1.0823,
209154863,118,2947,0.37509,-1.3167,
209154863,119,2972,0.84483,-1.4904,
209154863,120,2997,0.7661,-1.6514,
209154863,121,3023,0.46605,-1.1821,
209154863,122,3048,0.97562,-1.6676,
209154863,123,3073,0.88072,-1.7794,
209154863,124,3098,1.1049,-1.4728,
209154863,125,3123,1.4533,-1.423,
209154863,126,3148,1.6196,-1.4756,
209154863,127,3174,1.5844,-1.4332,
209154863,128,3199,1.6407,-1.3178,
209154863,129,3224,1.5291,-1.5635,
209154863,130,3249,1.3895,-1.724,
209154863,131,3274,1.1585,
209154863,132,3300,1.5582,
209154863,133,3325,2.2697,
209154863,134,3350,2.2783,
211335542,1,0,0,0,
211335542,2,25,1.4686,-0.97699,
211335542,3,50,1.4046,0.38314,
211335542,4,76,0.57181,0.63891,
211335542,5,101,2.8815,-0.38634,
211335542,6,126,0.26782,0.34399,
211335542,7,151,0.29979,0.093302,
211335542,8,176,0.1974,0.33209,
211335542,9,202,0.25156,0.14136,
211335542,10,227,0.24026,0.11768,
211335542,11,252,0.99064,0.16719,
211335542,12,277,0.16766,0.48554,
211335542,13,303,0.94379,1.4362,
211335542,14,328,0.21452,-0.025826,
211335542,15,353,0.1392,0.020732,
211335542,16,378,0.16509,1.206,
211335542,17,403,-0.19152,-0.90008,
211335542,18,429,-0.48069,0.93392,
211335542,19,454,0.46577,0.50968,
211335542,20,479,0.58293,-0.32688,
211335542,21,504,-0.63188,-1.3445,
211335542,22,529,0.68603,-1.0399,
211335542,23,555,-0.059488,-1.1671,
211335542,24,580,-0.54972,-0.21189,
211335542,25,605,-1.0807,-0.11395,
211335542,26,630,-0.88309,-1.1857,
211335542,27,656,-2.3136,0.39514,
211335542,28,681,-1.0232,0.59791,
211335542,29,706,-0.47835,0.4731,
211335542,30,731,0.20412,-1.0831,
211335542,31,756,-1.1735,-0.7215,
211335542,32,782,0.62125,-0.91987,
211335542,33,807,1.592,-0.24543,
211335542,34,832,0.91989,-0.45802,
211335542,35,857,0.92429,-1.4939,
211335542,36,882,0.80386,-3.267,
211335542,37,908,0.95469,-2.3718,
211335542,38,933,1.3097,0.30231,
211335542,39,958,0.60274,-2.1475,
211335542,40,983,0.85205,0.043607,
211335542,41,1008,1.7782,-2.2939,
211335542,42,1034,-0.77039,-1.2275,
211335542,43,1059,0.30368,-2.2599,
211335542,44,1084,1.0576,-1.917,
211335542,45,1109,0.6806,-1.9656,
211335542,46,1135,1.624,-0.37579,
211335542,47,1160,2.8764,-0.063335,
211335542,48,1185,0.78017,-1.014,
211335542,49,1210,1.2131,-1.4691,
211335542,50,1235,2.4896,-1.0853,
211335542,51,1261,0.92347,-1.034,
211335542,52,1286,2.5093,-1.0145,
211335542,53,1311,1.4469,-0.65303,
211335542,54,1336,2.0496,-1.2982,
211335542,55,1361,0.6815,-0.94291,
211335542,56,1387,1.1303,-0.90432,
211335542,57,1412,2.7668,-0.71297,
211335542,58,1437,2.3774,-1.653,
211335542,59,1462,2.3724,-1.2911,
211335542,60,1488,2.9844,-1.2961,
211335542,61,1513,2.0653,-0.71387,
211335542,62,1538,2.8442,-0.41377,
211335542,63,1563,1.8051,-0.026902,
211335542,64,1588,-0.27598,-1.4579,
211335542,65,1614,0.86702,-0.19363,
211335542,66,1639,1.5165,-1.5204,
211335542,67,1664,0.94864,-1.9291,
211335542,68,1689,1.3794,-1.4281,
211335542,69,1714,2.768,-2.0559,
211335542,70,1740,0.92525,-0.69151,
211335542,71,1765,1.0437,-2.0179,
211335542,72,1790,1.0206,-1.2775,
211335542,73,1815,0.85007,-1.2198,
211335542,74,1840,-0.061281,-1.937,
211335542,75,1866,2.1621,0.12998,
211335542,76,1891,0.93675,-0.60285,
211335542,77,1916,0.39476,-0.73439,
211335542,78,1941,2.3873,-0.64004,
211335542,79,1967,1.2875,-0.032702,
211335542,80,1992,3.8057,-0.46824,
211335542,81,2017,3.2542,-0.94718,
211335542,82,2042,3.3452,-0.30923,
211335542,83,2067,2.0964,-0.98348,
211335542,84,2093,2.7499,-0.4236,
211335542,85,2118,1.6451,-0.31964,
211335542,86,2143,2.5162,-0.31669,
211335542,87,2168,2.0237,-1.3117,
211335542,88,2193,1.4733,-1.0295,
211335542,89,2219,2.6064,-0.31177,
211335542,90,2244,2.9136,-1.131,
211335542,91,2269,4.5525,-0.12146,
211335542,92,2294,2.9754,-0.43602,
211335542,93,2319,2.233,-0.26325,
211335542,94,2345,3.6273,-1.7097,
211335542,95,2370,2.302,-1.5298,
211335542,96,2395,3.1322,-1.1064,
211335542,97,2420,2.8685,-0.33122,
211335542,98,2446,5.4152,-1.2156,
211335542,99,2471,3.5374,-1.0224,
211335542,100,2496,2.1458,-1.5953,
211335542,101,2521,1.6349,-1.6333,
211335542,102,2546,1.8187,-0.81308,
211335542,103,2572,0.32913,-0.85704,
211335542,104,2597,1.187,-0.045434,
211335542,105,2622,2.0842,-0.82899,
211335542,106,2647,-0.092885,-0.8147,
211335542,107,2672,2.4465,-0.02554,
211335542,108,2698,0.53548,-1.9599,
211335542,109,2723,0.92609,-1.2161,
211335542,110,2748,0.70231,-1.686,
211335542,111,2773,1.5183,-1.3671,
211335542,112,2799,1.9173,-2.6312,
211335542,113,2824,1.1894,-1.2267,
211335542,114,2849,0.83764,-1.0429,
211335542,115,2874,-2.0614,
211335542,116,2899,-3.1611,
211335542,117,2925,-1.2572,
211335542,118,2950,-1.0317,
211335542,119,2975,-2.1521,
306346313,1,0,0,0,
306346313,2,25,-0.17899,-1.617,
306346313,3,51,-0.021265,-3.3143,
306346313,4,76,-2.1185,-1.0375,
306346313,5,102,-1.7361,-0.53507,
306346313,6,127,-2.8115,-0.028784,
306346313,7,152,-1.4905,-0.23623,
306346313,8,178,-1.1108,-3.7404,
306346313,9,203,-1.2192,-1.6946,
306346313,10,229,-3.1114,-3.9466,
306346313,11,254,-0.61956,-2.1649,
306346313,12,279,-0.36837,-0.30436,
306346313,13,305,0.62943,-5.9761,
306346313,14,330,-1.113,-3.8343,
306346313,15,356,-1.2256,-4.66,
306346313,16,381,0.56801,-0.63781,
306346313,17,406,-3.2687,1.4878,
306346313,18,432,-3.1742,2.5186,
306346313,19,457,-0.4634,2.21,
306346313,20,483,-1.0489,1.7635,
306346313,21,508,0.80344,-0.84942,
306346313,22,533,1.1889,2.6572,
306346313,23,559,0.96027,-1.6064,
306346313,24,584,-0.87627,1.4363,
306346313,25,610,-1.7076,-1.2206,
306346313,26,635,-1.247,-2.0412,
306346313,27,660,-1.3199,1.2629,
306346313,28,686,1.3101,-0.41625,
306346313,29,711,-2.9431,-3.415,
306346313,30,737,-0.047321,-1.0622,
306346313,31,762,-2.826,0.71709,
306346313,32,788,-0.67213,-1.4429,
306346313,33,813,-1.0258,-0.35249,
306346313,34,838,-3.5395,-0.36562,
306346313,35,864,-0.19776,2.3424,
306346313,36,889,1.8251,-0.46676,
306346313,37,915,0.31447,-0.93299,
306346313,38,940,-0.53972,-0.29116,
306346313,39,965,-0.3048,0.21446,
306346313,40,991,-0.51056,-0.61227,
306346313,41,1016,1.7072,-0.86025,
306346313,42,1042,3.4914,1.211,
306346313,43,1067,1.0915,0.51523,
306346313,44,1092,-0.41944,0.71551,
306346313,45,1118,-0.17925,-0.07736,
306346313,46,1143,-0.32504,0.8343,
306346313,47,1169,2.1854,0.80305,
306346313,48,1194,0.94064,
306346313,49,1219,-2.025,
306346313,50,1245,2.4883,
306346313,51,1270,-0.69706,
306346313,52,1296,2.8177,
306346313,53,1321,-1.0069,
306346313,54,1346,3.0607,
306346313,55,1372,-0.36006,
306346313,56,1397,-0.79532,
306346313,57,1423,1.9878,
306346313,58,1448,-0.11959,
306346313,59,1473,-0.97483,
306346313,60,1499,1.1963,
306346313,61,1524,-0.14965,
306346313,62,1550,-2.6173,
306346313,63,1575,0.13746,
314919309,1,0,0,0,
314919309,2,25,-0.37793,0.033781,
314919309,3,50,-0.35089,-0.22654,
314919309,4,76,0.090778,-0.20242,
314919309,5,101,-0.021121,0.063605,
314919309,6,126,0.20116,-0.068707,
314919309,7,151,0.45251,0.21149,
314919309,8,177,0.26266,0.27043,
314919309,9,202,0.48783,0.32281,
314919309,10,227,0.40517,0.39971,
314919309,11,252,0.31363,0.45946,
314919309,12,277,0.40942,0.58217,
314919309,13,303,0.30111,0.62335,
314919309,14,328,0.16342,0.57505,
314919309,15,353,-0.10131,0.41444,
314919309,16,378,-0.011552,0.66741,
314919309,17,404,-0.21616,0.56949,
314919309,18,429,-0.4551,0.49293,
314919309,19,454,-0.49469,0.20213,
314919309,20,479,-0.53995,0.27402,
314919309,21,504,-0.4187,0.22879,
314919309,22,530,-0.51969,-0.15078,
314919309,23,555,-0.6072,-0.16201,
314919309,24,580,-0.56375,-0.15885,
314919309,25,605,-0.69221,-0.2767,
314919309,26,631,-0.63547,-0.18265,
314919309,27,656,-0.78607,-0.36772,
314919309,28,681,-0.54114,-0.39074,
314919309,29,706,-0.52763,-0.25364,
314919309,30,731,-0.55645,-0.31428,
314919309,31,757,-0.14568,-0.51356,
314919309,32,782,-0.20152,-0.19754,
314919309,33,807,-0.038043,-0.23943,
314919309,34,832,0.096146,-0.055432,
314919309,35,858,0.15027,-0.055571,
314919309,36,883,0.29271,0.029656,
314919309,37,908,-0.20538,0.012609,
314919309,38,933,-0.058319,0.00021645,
314919309,39,958,-0.10669,0.11596,
314919309,40,984,-0.066345,0.31123,
314919309,41,1009,-0.055239,0.30923,
314919309,42,1034,0.021506,0.28973,
314919309,43,1059,-0.055877,0.2198,
314919309,44,1085,0.23433,0.20316,
314919309,45,1110,0.047949,0.33571,
314919309,46,1135,-0.03315,0.39651,
314919309,47,1160,0.18849,0.6289,
314919309,48,1185,0.24786,0.53684,
314919309,49,1211,0.1642,0.46617,
314919309,50,1236,0.12265,0.49511,
314919309,51,1261,-0.00023268,0.56635,
314919309,52,1286,0.17339,0.52078,
314919309,53,1312,0.17563,0.57181,
314919309,54,1337,0.19121,0.43192,
314919309,55,1362,-0.034432,0.45124,
314919309,56,1387,0.14004,0.3695,
314919309,57,1412,0.22397,0.2798,
314919309,58,1438,0.34483,0.63938,
314919309,59,1463,0.040248,0.99459,
314919309,60,1488,0.26044,1.1309,
314919309,61,1513,-0.056923,1.5165,
314919309,62,1538,0.16001,1.6735,
314919309,63,1564,-0.036839,1.7095,
314919309,64,1589,0.2057,1.9102,
314919309,65,1614,-0.064855,2.2594,
314919309,66,1639,-0.015436,2.5097,
314919309,67,1665,0.097986,2.3112,
314919309,68,1690,0.34877,2.163,
314919309,69,1715,0.32547,1.9109,
314919309,70,1740,0.14973,1.5391,
314919309,71,1765,0.43095,1.3008,
314919309,72,1791,0.074965,1.0343,
314919309,73,1816,-0.02747,0.82891,
