,bin,time(ms),not first & no update & correct,not first & update & correct,
209154863,21,504,-0.20685,-0.27555,
209154863,22,529,-0.18145,-0.29635,
209154863,23,554,-0.21958,-0.23612,
209154863,24,579,-0.21973,-0.24606,
209154863,25,604,-0.21014,-0.24749,
209154863,26,630,-0.20172,-0.2134,
209154863,27,655,-0.2023,-0.19733,
209154863,28,680,-0.23335,-0.1892,
209154863,29,705,-0.19872,-0.18801,
209154863,30,730,-0.19568,-0.18891,
209154863,31,756,-0.22772,-0.1541,
209154863,32,781,-0.17347,-0.1719,
209154863,33,806,-0.21097,-0.16129,
209154863,34,831,-0.19057,-0.1301,
209154863,35,856,-0.15878,-0.1037,
209154863,36,882,-0.17671,-0.12532,
209154863,37,907,-0.14929,-0.088563,
209154863,38,932,-0.14575,-0.090716,
209154863,39,957,-0.14131,-0.090357,
209154863,40,982,-0.1582,-0.04049,
209154863,41,1007,-0.16417,-0.038205,
209154863,42,1033,-0.12701,0.0022376,
209154863,43,1058,-0.075354,-0.015145,
209154863,44,1083,-0.076367,0.0089013,
209154863,45,1108,-0.077459,0.016393,
209154863,46,1133,-0.054528,0.052435,
209154863,47,1159,-0.016778,0.013911,
209154863,48,1184,-0.037559,0.046042,
209154863,49,1209,-0.031334,0.081349,
209154863,50,1234,-0.011299,0.068537,
209154863,51,1259,-0.014187,0.095002,
209154863,52,1285,0.026728,0.10349,
209154863,53,1310,0.027513,0.11605,
209154863,54,1335,0.017541,0.14431,
209154863,55,1360,0.020336,0.18809,
209154863,56,1385,0.046095,0.18556,
209154863,57,1410,0.044788,0.19997,
209154863,58,1436,0.049196,0.19238,
209154863,59,1461,0.053194,0.22551,
209154863,60,1486,0.040621,0.20926,
209154863,61,1511,0.029695,0.16746,
209154863,62,1536,0.016283,0.16391,
209154863,63,1562,-0.0051382,0.14153,
209154863,64,1587,-0.0060519,0.11915,
209154863,65,1612,-0.052456,0.071444,
209154863,66,1637,-0.070737,0.039517,
209154863,67,1662,-0.10451,0.046314,
209154863,68,1688,-0.14747,0.039796,
209154863,69,1713,-0.15171,0.0082757,
209154863,70,1738,-0.15067,0.038981,
209154863,71,1763,-0.15828,0.010283,
209154863,72,1788,-0.19284,-0.034048,
209154863,73,1813,-0.18344,-0.015397,
209154863,74,1839,-0.18573,-0.011878,
209154863,75,1864,-0.24584,-0.031988,
209154863,76,1889,-0.20696,-0.0070629,
209154863,77,1914,-0.16569,-0.010509,
209154863,78,1939,-0.20517,-0.0065377,
209154863,79,1965,-0.15484,0.024723,
209154863,80,1990,-0.17114,0.020829,
209154863,81,2015,-0.18054,0.055255,
209154863,82,2040,-0.19469,0.01867,
